,Median Income,Total Households,"$14,999 and under",%,"$15,000 to $24,999",%,"$25,000 to $34,999",%,"$35,000 to $49,999",%,"$50,000 to $74,999",%,"$75,000 to $99,999",%,"$100,000 to $149,999",%,"$150,000 +",%
United States,"$62,843 ","120,756,048","12,492,454",10.30%,"10,760,144",8.90%,"10,792,134",8.90%,"14,822,045",12.30%,"20,789,890",17.20%,"15,374,617",12.70%,"18,286,811",15.10%,"17,437,953",14.40%
Massachusetts,"$81,215 ","2,617,497","246,932",9.40%,"187,642",7.20%,"175,126",6.70%,"242,760",9.30%,"371,113",14.20%,"315,954",12.10%,"466,142",17.80%,"611,828",23.40%
Boston,"$71,259 ","269,522","43,310",16.10%,"21,877",8.10%,"16,916",6.30%,"22,568",8.40%,"35,104",13.00%,"27,651",10.30%,"42,245",15.70%,"59,851",22.20%
Allston,"$58,141 ","6,526","1,140",17.50%,491,7.50%,551,8.40%,700,10.70%,"1,129",17.30%,639,9.80%,"1,054",16.20%,822,12.60%
Back Bay,"$111,185 ","9,829","1,324",13.50%,433,4.40%,422,4.30%,596,6.10%,959,9.80%,802,8.20%,"1,393",14.20%,"3,900",39.70%
Beacon Hill,"$110,841 ","5,427",386,7.10%,215,4.00%,126,2.30%,345,6.40%,683,12.60%,720,13.30%,891,16.40%,"2,061",38.00%
Brighton,"$77,625 ","22,698","3,051",13.40%,"1,549",6.80%,"1,260",5.60%,"1,659",7.30%,"3,523",15.50%,"2,924",12.90%,"4,715",20.80%,"4,017",17.70%
Charlestown,"$127,400 ","9,162","1,205",13.20%,607,6.60%,290,3.20%,445,4.90%,643,7.00%,678,7.40%,"1,523",16.60%,"3,771",41.20%
Dorchester,"$55,009 ","44,301","8,042",18.20%,"4,694",10.60%,"3,464",7.80%,"4,581",10.30%,"6,121",13.80%,"4,776",10.80%,"6,324",14.30%,"6,299",14.20%
Downtown,"$88,750 ","7,942","1,531",19.30%,517,6.50%,405,5.10%,464,5.80%,790,9.90%,480,6.00%,867,10.90%,"2,888",36.40%
East Boston,"$60,510 ","16,565","1,910",11.50%,"1,496",9.00%,"1,146",6.90%,"2,257",13.60%,"2,907",17.50%,"1,881",11.40%,"2,488",15.00%,"2,480",15.00%
Fenway,"$41,041 ","11,226","3,473",30.90%,944,8.40%,859,7.70%,884,7.90%,"1,346",12.00%,901,8.00%,"1,208",10.80%,"1,611",14.40%
Hyde Park,"$72,953 ","13,147","1,805",13.70%,"1,043",7.90%,757,5.80%,"1,058",8.00%,"2,110",16.00%,"1,605",12.20%,"2,431",18.50%,"2,338",17.80%
Jamaica Plain,"$97,069 ","16,423","1,703",10.40%,"1,128",6.90%,757,4.60%,969,5.90%,"1,904",11.60%,"1,983",12.10%,"3,435",20.90%,"4,544",27.70%
Longwood,"$42,404 ",269,59,21.90%,24,8.90%,39,14.50%,28,10.40%,41,15.20%,27,10.00%,51,19.00%,0,0.00%
Mattapan,"$55,968 ","9,173","1,439",15.70%,763,8.30%,827,9.00%,"1,123",12.20%,"1,457",15.90%,"1,347",14.70%,"1,297",14.10%,920,10.00%
Mission Hill,"$42,803 ","6,687","1,899",28.40%,602,9.00%,510,7.60%,641,9.60%,"1,301",19.50%,671,10.00%,538,8.00%,525,7.90%
North End,"$103,999 ","5,086",286,5.60%,192,3.80%,190,3.70%,266,5.20%,825,16.20%,673,13.20%,"1,148",22.60%,"1,506",29.60%
Roslindale,"$84,604 ","11,482","1,031",9.00%,721,6.30%,637,5.50%,"1,111",9.70%,"1,679",14.60%,"1,463",12.70%,"2,348",20.40%,"2,492",21.70%
Roxbury,"$30,534 ","19,899","6,340",31.90%,"2,449",12.30%,"2,084",10.50%,"2,216",11.10%,"2,107",10.60%,"1,581",7.90%,"1,806",9.10%,"1,316",6.60%
South Boston,"$111,541 ","16,730","2,068",12.40%,"1,176",7.00%,709,4.20%,872,5.20%,"1,319",7.90%,"1,559",9.30%,"2,941",17.60%,"6,086",36.40%
South Boston Waterfront,"$153,545 ","2,628",181,6.90%,87,3.30%,55,2.10%,94,3.60%,169,6.40%,281,10.70%,418,15.90%,"1,343",51.10%
South End,"$86,950 ","16,819","2,882",17.10%,"1,403",8.30%,913,5.40%,933,5.50%,"1,790",10.60%,"1,022",6.10%,"1,833",10.90%,"6,043",35.90%
West End,"$97,438 ","3,558",515,14.50%,229,6.40%,171,4.80%,245,6.90%,330,9.30%,322,9.10%,504,14.20%,"1,242",34.90%
West Roxbury,"$94,538 ","13,933","1,040",7.50%,"1,114",8.00%,744,5.30%,"1,081",7.80%,"1,959",14.10%,"1,316",9.40%,"3,032",21.80%,"3,647",26.20%
,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2015-2019 American Community Survey, BPDA Research Division Analysis",,,,,,,,,,,,,,,,,,
Table Name: Household Income in the Past 12 Months,,,,,,,,,,,,,,,,,,
Table ID:  B19001,,,,,,,,,,,,,,,,,,
Universe: Households,,,,,,,,,,,,,,,,,,
Note: Use Census income buckets for Median Calculator buckets,,,,,,,,,,,,,,,,,,
