Neighborhood,Total Population,White Alone,White Alone %,Black/African-American,Black/African-American %,Hispanic,Hispanic %,Asian Alone,Asian Alone %,Other Races,Other Races %
United States ,"324,697,795","197,100,373",60.70%,"39,977,554",12.30%,"58,479,370",18.00%,"17,708,954",5.50%,"11,431,544",3.50%
Massachusetts,"6,850,553","4,903,539",71.60%,"473,181",6.90%,"809,179",11.80%,"449,793",6.60%,"214,861",3.10%
Boston,"684,379","304,524",44%,"155,096",22.70%,"135,757",19.80%,"65,613",9.60%,"23,389",3.40%
Allston,"19,261","9,839",51.10%,"1,099",5.70%,"2,586",13.40%,"4,811",25.00%,926,4.80%
Back Bay,"17,783","13,044",73.40%,761,4.30%,"1,715",9.60%,"1,917",10.80%,346,1.90%
Beacon Hill,"9,648","8,074",83.70%,138,1.40%,580,6.00%,578,6.00%,278,2.90%
Brighton,"55,297","36,019",65.10%,"2,379",4.30%,"6,689",12.10%,"8,160",14.80%,"2,050",3.70%
Charlestown,"19,890","14,692",73.90%,"1,019",5.10%,"2,198",11.10%,"1,613",8.10%,368,1.90%
Dorchester,"126,909","28,244",22.30%,"55,787",44.00%,"25,288",19.90%,"12,540",9.90%,"5,050",4.00%
Downtown,"18,306","10,172",55.60%,730,4.00%,"1,100",6.00%,"5,701",31.10%,603,3.30%
East Boston,"47,263","16,011",33.90%,"1,171",2.50%,"26,707",56.50%,"2,167",4.60%,"1,207",2.60%
Fenway,"33,489","18,856",56.30%,"1,810",5.40%,"4,022",12.00%,"7,071",21.10%,"1,730",5.20%
Hyde Park,"38,924","8,719",22.40%,"18,042",46.40%,"10,242",26.30%,763,2.00%,"1,158",3.00%
Jamaica Plain,"40,867","22,533",55.10%,"5,825",14.30%,"9,001",22.00%,"2,004",4.90%,"1,504",3.70%
Longwood,"5,351","3,746",70.00%,291,5.40%,389,7.30%,752,14.10%,173,3.20%
Mattapan,"26,659","1,612",6.00%,"19,821",74.40%,"3,771",14.10%,499,1.90%,956,3.60%
Mission Hill,"17,386","7,156",41.20%,"2,662",15.30%,"3,716",21.40%,"3,419",19.70%,433,2.50%
North End,"8,749","7,692",87.90%,29,0.30%,614,7.00%,287,3.30%,127,1.50%
Roslindale,"30,021","15,291",50.90%,"5,805",19.30%,"7,182",23.90%,750,2.50%,993,3.30%
Roxbury,"54,161","5,937",11.00%,"27,243",50.30%,"16,637",30.70%,"1,905",3.50%,"2,439",4.50%
South Boston,"36,772","28,008",76.20%,"2,064",5.60%,"4,065",11.10%,"2,070",5.60%,565,1.50%
South Boston Waterfront,"4,403","3,640",82.70%,93,2.10%,128,2.90%,425,9.70%,117,2.70%
South End,"32,571","18,044",55.40%,"3,669",11.30%,"4,715",14.50%,"4,974",15.30%,"1,169",3.60%
West End,"6,619","4,436",67.00%,463,7.00%,838,12.70%,706,10.70%,176,2.70%
West Roxbury,"33,526","22,584",67.40%,"4,094",12.20%,"3,376",10.10%,"2,500",7.50%,972,2.90%
