_id,Cabinet,Dept,Program,Expense Category,FY22 Actual Expense,FY23 Actual Expense,FY24 Appropriation,FY25 Budget
1,Mayor's Cabinet,Mayor's Office,Mayor's Administration,Personnel Services,1624903.69,2374448.36,1921403.81,2217748.39
2,Mayor's Cabinet,Mayor's Office,Mayor's Administration,Contractual Services,284597.9,383743.11,219633.42,234628
3,Mayor's Cabinet,Mayor's Office,Mayor's Administration,Supplies & Materials,28541.55,74491.63,55573.65,60000
4,Mayor's Cabinet,Mayor's Office,Mayor's Administration,Current Charges & Obligations,19410.3,25350.83,16734.29,20000
5,Mayor's Cabinet,Mayor's Office,Mayor's Administration,Equipment,16164.36,44132.61,36115,53000
6,Mayor's Cabinet,Mayor's Office,Mayor's Executive,Personnel Services,583859.32,374100.89,387298.7,386249.77
7,Mayor's Cabinet,Mayor's Office,Mayor's Executive,Contractual Services,#Missing,936,#Missing,1404
8,Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Personnel Services,768993.95,2598928.91,1464593.36,1226631.64
9,Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Contractual Services,253549.07,16559.28,174000,113458
10,Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Supplies & Materials,#Missing,#Missing,3000,6000
11,Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Current Charges & Obligations,1685.9,1003.59,2000,3000
12,Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Personnel Services,438308.77,571746,669210.36,697709.9
13,Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Contractual Services,583.44,22149.88,100000,87106
14,Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Supplies & Materials,164.98,2817.3,6361,6500
15,Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Current Charges & Obligations,1190.52,3475.96,4500,5000
16,Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Equipment,22128,55.47,22000,22500
17,Mayor's Cabinet,Mayor's Office,Mayor's Communications,Personnel Services,762365.75,1095489.35,1349000.7,1573762.78
