_id,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,Grant_Existing,Grant_FY,Grant_Future,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
1,Boston Centers for Youth and Families,BCYF Security and Technology Upgrades,Improvements to technology infrastructure and security systems including cameras at all stand alone sites.,Boston Centers for Youth and Families,To Be Scheduled,Citywide,2000000,0,0,0,0,0,0.00,0,0,2000000.00,0.00,0,0,0.00,0,2000000
2,Boston Centers for Youth and Families,BCYF Tobin Community Center Retaining Wall,Repair or replace the retaining wall adjacent to the BCYF Tobin Community Center.,Public Facilities Department,In Design,Mission Hill,1800000,0,0,0,0,0,84629.00,139188,400000,1176183.00,0.00,0,0,0.00,0,1800000
3,Boston Centers for Youth and Families,BCYF North End Community Center,Design and construct a new North End Community Center.,Public Facilities Department,In Design,North End,68000000,0,0,0,0,0,9500.00,1000000,2000000,64990500.00,0.00,0,0,0.00,20000000,88000000
4,Boston Centers for Youth and Families,Pool Repairs,"Renovate and upgrade locker rooms and pools including filtration systems, pool liners, and dehumidification and HVAC systems at various BCYF/BPS pool facilities.",Boston Centers for Youth and Families,Annual Program,Citywide,2300000,2700000,0,0,0,0,886590.00,500000,1000000,2613410.00,0.00,0,0,0.00,0,5000000
5,Boston Centers for Youth and Families,Youth Budget Round 4,"Engage youth across the City using participatory budgeting methods. Projects include a performing and visual arts studio, a digital billboard displaying resources for homeless youth, and a future media center.",Youth Engagement and Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,28500.00,13815,0,957685.00,0.00,0,0,0.00,0,1000000
6,Boston Centers for Youth and Families,Youth Budget Round 5,Engage youth across the City using participatory budgeting methods. Project include a youth wi-fi lounge and adding solar panels on city buildings.,Youth Engagement and Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,0.00,0,0,1000000.00,0.00,0,0,0.00,0,1000000
7,Boston Centers for Youth and Families,Youth Budget Round 6,"Engage youth across the City using participatory budgeting methods. Projects include water bottle refill stations in parks, recycling and trash bins along streets, and installing solar-powered benches with USB charging stations at bus stops.",Youth Engagement and Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,735537.00,250000,0,14463.00,0.00,0,0,0.00,0,1000000
8,Boston Centers for Youth and Families,Youth Budget Round 7,"Engage youth across the City using participatory budgeting methods. Projects include planting trees around the city, investing in improvements at the Woods Mullen Shelter, and investing in local urban farming.",Youth Engagement and Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,0.00,81854,0,918146.00,0.00,0,0,0.00,0,1000000
9,Boston Centers for Youth and Families,Youth Budget Round 8,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Advancement,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0.00,0,0,1000000.00,0.00,0,0,0.00,0,1000000
10,Boston Centers for Youth and Families,BCYF Hyde Park Community Center,"Interior and exterior building renovation including improvements to athletic facilities, redesign of the front entrance, window and door replacements, and other facility upgrades to enable using the facility as a sheltering site year-round.",Public Facilities Department,In Design,Hyde Park,1000000,0,0,0,0,0,0.00,50000,400000,550000.00,0.00,0,0,0.00,0,1000000
